MSSV,Khoa,HoTen,NgaySinh,ThuTuHocKy,TenHocKy,MaMon,TinChi,GPA
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,CE118,3,6.1
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,SS001,2,9.9
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,IT004,4,9.2
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,IT003,4,5.3
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,MA004,3,9.1
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,IS201,3,10.0
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,SS002,2,10.0
24520001,19,Hoang Hoai Binh,12/11/2006,1,HK1 2024-2025,MA003,3,6.0
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,SE104,3,9.5
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,IT004,4,9.5
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,CS106,4,6.0
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,MA005,3,5.3
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,CE118,3,5.2
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,SS001,2,9.9
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,PE001,1,8.0
24520001,19,Hoang Hoai Binh,12/11/2006,2,HK2 2024-2025,IT001,4,8.9
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,MA005,3,9.6
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,IT003,4,8.7
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,IS201,3,7.2
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,MA003,3,6.9
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,IT002,4,8.1
24520001,19,Hoang Hoai Binh,12/11/2006,3,HK3 2024-2025,SS001,2,7.8
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,IT004,4,8.3
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,IT001,4,5.5
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,SE104,3,7.5
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,EN001,2,9.7
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,MA005,3,9.6
24520002,19,Do Ngoc Duy,12/12/2006,1,HK1 2024-2025,SS001,2,8.0
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,SS001,2,5.0
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,IS201,3,9.1
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,SS002,2,8.3
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,IT004,4,5.3
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,MA003,3,9.3
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,MA005,3,7.9
24520002,19,Do Ngoc Duy,12/12/2006,2,HK2 2024-2025,EN001,2,6.7
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,CE118,3,9.4
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,SS002,2,7.9
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,MA003,3,9.8
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,IS201,3,9.7
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,SS001,2,9.5
24520002,19,Do Ngoc Duy,12/12/2006,3,HK3 2024-2025,IT002,4,7.6
